Group Header1,Group Header,Department,CourseCode,CourseName,Credits,GAF,CourseLevel,StateCode,State Code Description
 , ,Visual Arts,AHS11,Art appreciation,1,1,H,5152,Art history
 , ,Visual Arts,AKS11QFV,Film and videotape,1,1,H,5168,Film/videotape
 , ,Visual Arts,ANS11QAS,Studio art mixed media,1,1,H,5170,Art portfolio
 , ,Visual Arts,APS11QAP,Oil acrylic painting,1,1,H,5157,Creative art—painting
 , ,Visual Arts,APS11QWC,Water color painting,1,1,H,5157,Creative art—painting
 , ,Visual Arts,APS21QAP,Oil acrylic painting 1,1,1,H,5157,Creative art—painting
 , ,Visual Arts,APS22QAP,Oil acrylic painting 2,1,1,H,5157,Creative art—painting
 , ,Visual Arts,AUS11QCG,Computer graphics,1,1,H,5169,Computer-assisted art
 , ,Visual Arts,AUS11QPG,Portrait graphic design,1,1,H,5169,Computer-assisted art
 , ,Visual Arts,AYS11QDJ,Jewelry design,1,1,H,5154,Creative art—comprehensive
 , ,Theater,CJS21QDR,Drama 1,1,1,H,5055,Drama—acting/performance
 , ,Theater,CJS22QDR,Drama 2,1,1,H,5055,Drama—acting/performance
 , ,English/ESL,EES81,English 9 term 1,1,1,H,1001,English/language arts i (9th grade)
 , ,English/ESL,EES81QFC,Fr composition 1,1,1,H,1001,English/language arts i (9th grade)
 , ,English/ESL,EES82,English 9 term 2,1,1,H,1001,English/language arts i (9th grade)
 , ,English/ESL,EES82QFC,Fr composition 2,1,1,H,1001,English/language arts i (9th grade)
 , ,English/ESL,EES83,English 10 term 1,1,1,H,1002,English/language arts ii (10th grade)
 , ,English/ESL,EES83QCL,Classical lit,1,1,H,1002,English/language arts ii (10th grade)
 , ,English/ESL,EES83QEL,European lit 1,1,1,H,1002,English/language arts ii (10th grade)
 , ,English/ESL,EES84,English 10 term 2,1,1,H,1002,English/language arts ii (10th grade)
 , ,English/ESL,EES84QEL,European lit 2,1,1,H,1002,English/language arts ii (10th grade)
 , ,English/ESL,EES84QME,Modern european,1,1,H,1002,English/language arts ii (10th grade)
 , ,English/ESL,EES85,English 11 1 of 2,1,1,H,01003CC,English/language arts iii (common core)
 , ,English/ESL,EES85QAC,Eng5 acting,1,1,H,01003CC,English/language arts iii (common core)
 , ,English/ESL,EES85QAM,Eng 5 american lit 1,1,1,H,01003CC,English/language arts iii (common core)
 , ,English/ESL,EES85QCN,Creative nonfict5,1,1,H,01003CC,English/language arts iii (common core)
 , ,English/ESL,EES85QDF,Detective fict eng5,1,1,H,01003CC,English/language arts iii (common core)
 , ,English/ESL,EES85QEA,Early american lit,1,1,H,01003CC,English/language arts iii (common core)
 , ,English/ESL,EES85QGL,Gothic lit eng5,1,1,H,01003CC,English/language arts iii (common core)
 , ,English/ESL,EES85QHA,Eng 5 asian american lit,1,1,H,01003CC,English/language arts iii (common core)
 , ,English/ESL,EES85QPW,Poetry eng5,1,1,H,01003CC,English/language arts iii (common core)
 , ,English/ESL,EES85QSW,Eng 5 science writing,1,1,H,01003CC,English/language arts iii (common core)
 , ,English/ESL,EES85QWW,Writers wksp eng5,1,1,H,01003CC,English/language arts iii (common core)
 , ,English/ESL,EES85X,Eng 5 ap,1,1,H,1003,English/language arts iii (11th grade)
